X,Y,Z
13720.00000,24000.00000,645.000000000000000
13720.00000,24010.00000,645.000000000000000
13720.00000,24020.00000,645.000000000000000
13720.00000,24030.00000,645.000000000000000
13720.00000,24040.00000,645.000000000000000
13720.00000,24050.00000,645.000000000000000
13720.00000,24060.00000,645.000000000000000
13720.00000,24070.00000,635.000000000000000
13720.00000,24080.00000,635.000000000000000
13720.00000,24090.00000,635.000000000000000
13720.00000,24100.00000,635.000000000000000
13720.00000,24110.00000,635.000000000000000
13720.00000,24120.00000,635.000000000000000
13720.00000,24130.00000,635.000000000000000
13720.00000,24140.00000,635.000000000000000
13720.00000,24150.00000,635.000000000000000
13720.00000,24160.00000,635.000000000000000
13720.00000,24170.00000,635.000000000000000
13720.00000,24180.00000,635.000000000000000
13720.00000,24190.00000,635.000000000000000
13720.00000,24200.00000,635.000000000000000
13720.00000,24210.00000,635.000000000000000
13720.00000,24220.00000,635.000000000000000
13720.00000,24230.00000,635.000000000000000
13720.00000,24240.00000,635.000000000000000
13720.00000,24250.00000,635.000000000000000
13720.00000,24260.00000,635.000000000000000
13720.00000,24270.00000,345.000000000000000
13720.00000,24280.00000,345.000000000000000
13720.00000,24290.00000,345.000000000000000
13720.00000,24300.00000,345.000000000000000
13720.00000,24310.00000,345.000000000000000
13720.00000,24320.00000,345.000000000000000
13720.00000,24330.00000,345.000000000000000
13720.00000,24340.00000,345.000000000000000
13720.00000,24350.00000,345.000000000000000
13720.00000,24360.00000,345.000000000000000
13720.00000,24370.00000,345.000000000000000
13720.00000,24380.00000,345.000000000000000
13720.00000,24390.00000,345.000000000000000
13720.00000,24400.00000,345.000000000000000
13720.00000,24410.00000,345.000000000000000
13720.00000,24420.00000,345.000000000000000
13730.00000,23690.00000,345.000000000000000
13730.00000,23700.00000,345.000000000000000
13730.00000,23710.00000,345.000000000000000
13730.00000,23720.00000,345.000000000000000
13730.00000,23730.00000,345.000000000000000
13730.00000,23740.00000,345.000000000000000
13730.00000,23750.00000,345.000000000000000
13730.00000,23760.00000,345.000000000000000
13730.00000,23770.00000,345.000000000000000
13730.00000,23780.00000,345.000000000000000
13730.00000,23790.00000,345.000000000000000
13730.00000,23800.00000,345.000000000000000
13730.00000,23810.00000,345.000000000000000
13730.00000,23820.00000,345.000000000000000
13730.00000,23830.00000,345.000000000000000
13730.00000,23840.00000,345.000000000000000
13730.00000,23850.00000,345.000000000000000
13730.00000,23860.00000,345.000000000000000
13730.00000,23870.00000,345.000000000000000
13730.00000,23880.00000,345.000000000000000
13730.00000,23890.00000,345.000000000000000
13730.00000,23900.00000,665.000000000000000
13730.00000,23910.00000,665.000000000000000
13730.00000,23920.00000,665.000000000000000
13730.00000,23930.00000,665.000000000000000
13730.00000,23940.00000,665.000000000000000
13730.00000,23950.00000,655.000000000000000
13730.00000,23960.00000,655.000000000000000
13730.00000,23970.00000,655.000000000000000
13730.00000,23980.00000,655.000000000000000
13730.00000,23990.00000,655.000000000000000
13730.00000,24000.00000,655.000000000000000
13730.00000,24010.00000,645.000000000000000
13730.00000,24020.00000,645.000000000000000
13730.00000,24030.00000,645.000000000000000
13730.00000,24040.00000,645.000000000000000
13730.00000,24050.00000,645.000000000000000
13730.00000,24060.00000,645.000000000000000
13730.00000,24070.00000,635.000000000000000
13730.00000,24080.00000,635.000000000000000
13730.00000,24090.00000,635.000000000000000
13730.00000,24100.00000,635.000000000000000
13730.00000,24110.00000,635.000000000000000
13730.00000,24120.00000,635.000000000000000
13730.00000,24130.00000,635.000000000000000
13730.00000,24140.00000,635.000000000000000
13730.00000,24150.00000,635.000000000000000
13730.00000,24160.00000,635.000000000000000
13730.00000,24170.00000,635.000000000000000
13730.00000,24180.00000,635.000000000000000
13730.00000,24190.00000,635.000000000000000
13730.00000,24200.00000,635.000000000000000
13730.00000,24210.00000,635.000000000000000
13730.00000,24220.00000,635.000000000000000
13730.00000,24230.00000,635.000000000000000
13730.00000,24240.00000,635.000000000000000
13730.00000,24250.00000,635.000000000000000
13730.00000,24260.00000,345.000000000000000
13730.00000,24270.00000,345.000000000000000
13730.00000,24280.00000,345.000000000000000
13730.00000,24290.00000,345.000000000000000
13730.00000,24300.00000,345.000000000000000
13730.00000,24310.00000,345.000000000000000
13730.00000,24320.00000,345.000000000000000
13730.00000,24330.00000,345.000000000000000
13730.00000,24340.00000,345.000000000000000
13730.00000,24350.00000,345.000000000000000
13730.00000,24360.00000,345.000000000000000
13730.00000,24370.00000,345.000000000000000
13730.00000,24380.00000,345.000000000000000
13730.00000,24390.00000,345.000000000000000
13730.00000,24400.00000,345.000000000000000
13730.00000,24410.00000,345.000000000000000
13730.00000,24420.00000,345.000000000000000
13740.00000,23690.00000,345.000000000000000
13740.00000,23700.00000,345.000000000000000
13740.00000,23710.00000,345.000000000000000
13740.00000,23720.00000,345.000000000000000
13740.00000,23730.00000,345.000000000000000
13740.00000,23740.00000,345.000000000000000
13740.00000,23750.00000,345.000000000000000
13740.00000,23760.00000,345.000000000000000
13740.00000,23770.00000,345.000000000000000
13740.00000,23780.00000,345.000000000000000
13740.00000,23790.00000,345.000000000000000
13740.00000,23800.00000,345.000000000000000
13740.00000,23810.00000,345.000000000000000
13740.00000,23820.00000,345.000000000000000
13740.00000,23830.00000,345.000000000000000
13740.00000,23840.00000,345.000000000000000
13740.00000,23850.00000,345.000000000000000
13740.00000,23860.00000,345.000000000000000
13740.00000,23870.00000,345.000000000000000
13740.00000,23880.00000,345.000000000000000
13740.00000,23890.00000,345.000000000000000
13740.00000,23900.00000,345.000000000000000
13740.00000,23910.00000,665.000000000000000
13740.00000,23920.00000,665.000000000000000
13740.00000,23930.00000,665.000000000000000
13740.00000,23940.00000,665.000000000000000
13740.00000,23950.00000,665.000000000000000
13740.00000,23960.00000,655.000000000000000
13740.00000,23970.00000,655.000000000000000
13740.00000,23980.00000,655.000000000000000
13740.00000,23990.00000,655.000000000000000
13740.00000,24000.00000,655.000000000000000
13740.00000,24010.00000,645.000000000000000
13740.00000,24020.00000,645.000000000000000
13740.00000,24030.00000,645.000000000000000
13740.00000,24040.00000,645.000000000000000
13740.00000,24050.00000,645.000000000000000
13740.00000,24060.00000,645.000000000000000
13740.00000,24070.00000,635.000000000000000
13740.00000,24080.00000,635.000000000000000
13740.00000,24090.00000,635.000000000000000
13740.00000,24100.00000,635.000000000000000
13740.00000,24110.00000,635.000000000000000
13740.00000,24120.00000,635.000000000000000
13740.00000,24130.00000,635.000000000000000
13740.00000,24140.00000,635.000000000000000
13740.00000,24150.00000,635.000000000000000
13740.00000,24160.00000,635.000000000000000
13740.00000,24170.00000,635.000000000000000
13740.00000,24180.00000,635.000000000000000
13740.00000,24190.00000,635.000000000000000
13740.00000,24200.00000,635.000000000000000
13740.00000,24210.00000,635.000000000000000
13740.00000,24220.00000,635.000000000000000
13740.00000,24230.00000,635.000000000000000
13740.00000,24240.00000,635.000000000000000
13740.00000,24250.00000,345.000000000000000
13740.00000,24260.00000,345.000000000000000
13740.00000,24270.00000,345.000000000000000
13740.00000,24280.00000,345.000000000000000
13740.00000,24290.00000,345.000000000000000
13740.00000,24300.00000,345.000000000000000
13740.00000,24310.00000,345.000000000000000
13740.00000,24320.00000,345.000000000000000
13740.00000,24330.00000,345.000000000000000
13740.00000,24340.00000,345.000000000000000
13740.00000,24350.00000,345.000000000000000
13740.00000,24360.00000,345.000000000000000
13740.00000,24370.00000,345.000000000000000
13740.00000,24380.00000,345.000000000000000
13740.00000,24390.00000,345.000000000000000
13740.00000,24400.00000,345.000000000000000
13740.00000,24410.00000,345.000000000000000
13740.00000,24420.00000,345.000000000000000
13750.00000,23690.00000,345.000000000000000
13750.00000,23700.00000,345.000000000000000
13750.00000,23710.00000,345.000000000000000
13750.00000,23720.00000,345.000000000000000
13750.00000,23730.00000,345.000000000000000
13750.00000,23740.00000,345.000000000000000
13750.00000,23750.00000,345.000000000000000
13750.00000,23760.00000,345.000000000000000
13750.00000,23770.00000,345.000000000000000
13750.00000,23780.00000,345.000000000000000
13750.00000,23790.00000,345.000000000000000
13750.00000,23800.00000,345.000000000000000
13750.00000,23810.00000,345.000000000000000
13750.00000,23820.00000,345.000000000000000
13750.00000,23830.00000,345.000000000000000
13750.00000,23840.00000,345.000000000000000
13750.00000,23850.00000,345.000000000000000
13750.00000,23860.00000,345.000000000000000
13750.00000,23870.00000,345.000000000000000
13750.00000,23880.00000,345.000000000000000
13750.00000,23890.00000,345.000000000000000
13750.00000,23900.00000,345.000000000000000
13750.00000,23910.00000,345.000000000000000
13750.00000,23920.00000,345.000000000000000
13750.00000,23930.00000,665.000000000000000
13750.00000,23940.00000,665.000000000000000
13750.00000,23950.00000,665.000000000000000
13750.00000,23960.00000,655.000000000000000
13750.00000,23970.00000,655.000000000000000
13750.00000,23980.00000,655.000000000000000
13750.00000,23990.00000,655.000000000000000
13750.00000,24000.00000,655.000000000000000
13750.00000,24010.00000,655.000000000000000
13750.00000,24020.00000,645.000000000000000
13750.00000,24030.00000,645.000000000000000
13750.00000,24040.00000,645.000000000000000
13750.00000,24050.00000,645.000000000000000
13750.00000,24060.00000,645.000000000000000
13750.00000,24070.00000,635.000000000000000
13750.00000,24080.00000,635.000000000000000
13750.00000,24090.00000,635.000000000000000
13750.00000,24100.00000,635.000000000000000
13750.00000,24110.00000,635.000000000000000
13750.00000,24120.00000,635.000000000000000
13750.00000,24130.00000,635.000000000000000
13750.00000,24140.00000,635.000000000000000
13750.00000,24150.00000,635.000000000000000
13750.00000,24160.00000,635.000000000000000
13750.00000,24170.00000,635.000000000000000
13750.00000,24180.00000,625.000000000000000
13750.00000,24190.00000,345.000000000000000
13750.00000,24200.00000,345.000000000000000
13750.00000,24210.00000,345.000000000000000
13750.00000,24220.00000,345.000000000000000
13750.00000,24230.00000,345.000000000000000
13750.00000,24240.00000,345.000000000000000
13750.00000,24250.00000,345.000000000000000
13750.00000,24260.00000,345.000000000000000
13750.00000,24270.00000,345.000000000000000
13750.00000,24280.00000,345.000000000000000
13750.00000,24290.00000,345.000000000000000
13750.00000,24300.00000,345.000000000000000
13750.00000,24310.00000,345.000000000000000
13750.00000,24320.00000,345.000000000000000
13750.00000,24330.00000,345.000000000000000
13750.00000,24340.00000,345.000000000000000
13750.00000,24350.00000,345.000000000000000
13750.00000,24360.00000,345.000000000000000
13750.00000,24370.00000,345.000000000000000
13750.00000,24380.00000,345.000000000000000
13750.00000,24390.00000,345.000000000000000
13750.00000,24400.00000,345.000000000000000
13750.00000,24410.00000,345.000000000000000
13750.00000,24420.00000,345.000000000000000
13760.00000,23690.00000,345.000000000000000
13760.00000,23700.00000,345.000000000000000
13760.00000,23710.00000,345.000000000000000
13760.00000,23720.00000,345.000000000000000
13760.00000,23730.00000,345.000000000000000
13760.00000,23740.00000,345.000000000000000
13760.00000,23750.00000,345.000000000000000
13760.00000,23760.00000,345.000000000000000
13760.00000,23770.00000,345.000000000000000
13760.00000,23780.00000,345.000000000000000
13760.00000,23790.00000,345.000000000000000
13760.00000,23800.00000,345.000000000000000
13760.00000,23810.00000,345.000000000000000
13760.00000,23820.00000,345.000000000000000
13760.00000,23830.00000,345.000000000000000
13760.00000,23840.00000,345.000000000000000
13760.00000,23850.00000,345.000000000000000
13760.00000,23860.00000,345.000000000000000
13760.00000,23870.00000,345.000000000000000
13760.00000,23880.00000,345.000000000000000
13760.00000,23890.00000,345.000000000000000
13760.00000,23900.00000,345.000000000000000
13760.00000,23910.00000,345.000000000000000
13760.00000,23920.00000,345.000000000000000
13760.00000,23930.00000,345.000000000000000
13760.00000,23940.00000,665.000000000000000
13760.00000,23950.00000,665.000000000000000
13760.00000,23960.00000,665.000000000000000
13760.00000,23970.00000,655.000000000000000
13760.00000,23980.00000,655.000000000000000
13760.00000,23990.00000,655.000000000000000
13760.00000,24000.00000,655.000000000000000
13760.00000,24010.00000,655.000000000000000
13760.00000,24020.00000,645.000000000000000
13760.00000,24030.00000,645.000000000000000
13760.00000,24040.00000,645.000000000000000
